year,authorship_type,portion_of_female_unique_authors_by_authorship
1876,first,1.0
1916,first,0.5
1921,first,0.22222222222222221
1923,last,1.0
1924,first,0.066666666666666666
1926,first,0.23076923076923078
1926,middle,1.0
1927,first,0.36363636363636365
1928,first,0.16666666666666666
1928,last,0.5
1929,first,0.1
1930,first,0.125
1931,first,0.18181818181818182
1932,first,0.2
1933,first,0.14285714285714285
1934,first,0.21428571428571427
1935,first,0.1111111111111111
1936,first,0.125
1936,last,0.16666666666666666
1938,first,0.15
1938,last,0.5
1939,first,0.076923076923076927
1940,first,0.16666666666666666
1941,first,0.14285714285714285
1941,last,0.083333333333333329
1942,first,0.071428571428571425
1942,last,0.4
1943,first,0.26666666666666666
1943,last,0.25
1944,first,0.1
1945,last,0.5
1945,middle,0.66666666666666663
1946,first,0.10526315789473684
1946,last,0.4
1946,middle,0.5
1947,first,0.27777777777777779
1947,last,0.16666666666666666
1948,first,0.038461538461538464
1948,middle,0.25
1949,first,0.14285714285714285
1950,first,0.064516129032258063
1951,first,0.043478260869565216
1951,last,0.25
1952,first,0.25
1952,middle,0.5
1953,middle,1.0
1954,first,0.068965517241379309
1954,middle,0.4
1955,first,0.1111111111111111
1955,last,0.058823529411764705
1955,middle,0.33333333333333331
1956,first,0.052631578947368418
1956,last,0.25
1957,first,0.057142857142857141
1957,last,0.125
1958,first,0.094339622641509441
1958,last,0.18181818181818182
1959,first,0.044444444444444446
1959,last,0.15384615384615385
1959,middle,0.18181818181818182
1960,first,0.058823529411764705
1960,last,0.076923076923076927
1961,first,0.075471698113207544
1961,last,0.125
1961,middle,0.25
1962,first,0.072463768115942032
1962,last,0.21428571428571427
1962,middle,0.33333333333333331
1963,first,0.017857142857142856
1963,last,0.043478260869565216
1964,first,0.03896103896103896
1964,last,0.11538461538461539
1964,middle,0.2857142857142857
1965,first,0.064516129032258063
1965,last,0.060606060606060608
1965,middle,0.16666666666666666
1966,first,0.047619047619047616
1966,last,0.11538461538461539
1966,middle,0.083333333333333329
1967,first,0.11009174311926606
1967,last,0.058823529411764705
1968,first,0.037037037037037035
1968,last,0.085714285714285715
1968,middle,0.14285714285714285
1969,first,0.10606060606060606
1969,last,0.21212121212121213
1969,middle,0.1111111111111111
1970,first,0.12751677852348994
1970,last,0.16981132075471697
1970,middle,0.11764705882352941
1971,first,0.08461538461538462
1971,last,0.23529411764705882
1971,middle,0.18181818181818182
1972,first,0.063953488372093026
1972,last,0.079365079365079361
1972,middle,0.13636363636363635
1973,first,0.082352941176470587
1973,last,0.0821917808219178
1974,first,0.060913705583756347
1974,last,0.057142857142857141
1974,middle,0.25
1975,first,0.08
1975,last,0.14285714285714285
1975,middle,0.13043478260869565
1976,first,0.080321285140562249
1976,last,0.13392857142857142
1976,middle,0.14285714285714285
1977,first,0.10384615384615385
1977,last,0.11224489795918367
1977,middle,0.1388888888888889
1978,first,0.089595375722543349
1978,last,0.081300813008130079
1978,middle,0.20833333333333334
1979,first,0.084931506849315067
1979,last,0.125
1979,middle,0.1744186046511628
1980,first,0.0947867298578199
1980,last,0.095959595959595953
1980,middle,0.058139534883720929
1981,first,0.097826086956521743
1981,last,0.080459770114942528
1981,middle,0.057142857142857141
1982,first,0.13603818615751789
1982,last,0.1111111111111111
1982,middle,0.08
1983,first,0.13800904977375567
1983,last,0.13744075829383887
1983,middle,0.21495327102803738
1984,first,0.17154811715481172
1984,last,0.12888888888888889
1984,middle,0.23157894736842105
1985,first,0.17012448132780084
1985,last,0.17647058823529413
1985,middle,0.20869565217391303
1986,first,0.154296875
1986,last,0.14615384615384616
1986,middle,0.248
1987,first,0.22537878787878787
1987,last,0.18685121107266436
1987,middle,0.20979020979020979
1988,first,0.16486902927580893
1988,last,0.14792899408284024
1988,middle,0.10810810810810811
1989,first,0.17065868263473055
1989,last,0.17222222222222222
1989,middle,0.17525773195876287
1990,first,0.18791946308724833
1990,last,0.1674641148325359
1990,middle,0.17346938775510204
1991,first,0.17321867321867321
1991,last,0.17586912065439672
1991,middle,0.19383259911894274
1992,first,0.15894736842105264
1992,last,0.19141323792486584
1992,middle,0.22712933753943218
1993,first,0.19862340216322516
1993,last,0.1676923076923077
1993,middle,0.2077562326869806
1994,first,0.18090909090909091
1994,last,0.19213313161875945
1994,middle,0.23116883116883116
1995,first,0.19728506787330316
1995,last,0.18349928876244664
1995,middle,0.22342733188720174
1996,first,0.21043771043771045
1996,last,0.19605263157894737
1996,middle,0.24301075268817204
1997,first,0.21468034727703236
1997,last,0.1937888198757764
1997,middle,0.24518388791593695
1998,first,0.21486928104575165
1998,last,0.20025031289111389
1998,middle,0.26095238095238094
1999,first,0.22106109324758844
1999,last,0.19125
1999,middle,0.22047244094488189
2000,first,0.22618231665524333
2000,last,0.19658119658119658
2000,middle,0.22575757575757577
2001,first,0.20160791589363017
2001,last,0.19734345351043645
2001,middle,0.24539877300613497
2002,first,0.22434875066454013
2002,last,0.17860016090104586
2002,middle,0.23406374501992031
2003,first,0.22552204176334106
2003,last,0.20600558659217877
2003,middle,0.24166666666666667
2004,first,0.22810432074737252
2004,last,0.20699708454810495
2004,middle,0.23173016864459714
2005,first,0.23306581059390047
2005,last,0.20066730219256435
2005,middle,0.21990620114643042
2006,first,0.22330097087378642
2006,last,0.20392009046362608
2006,middle,0.24668008048289738
2007,first,0.23358473824312334
2007,last,0.20697752432069774
2007,middle,0.2496617050067659
2008,first,0.25640559694711973
2008,last,0.22622863247863248
2008,middle,0.23836032388663966
2009,first,0.26137026239067057
2009,last,0.24199288256227758
2009,middle,0.25111498933488463
2010,first,0.27185213708124761
2010,last,0.23523015585357013
2010,middle,0.26472003850473286
2011,first,0.28144706272817788
2011,last,0.24562204964215015
2011,middle,0.26198165611678076
2012,first,0.27810426540284361
2012,last,0.24120281509916827
2012,middle,0.26227470478558113
2013,first,0.28334198235599378
2013,last,0.25252637423653523
2013,middle,0.27384960718294049
2014,first,0.28569091057841772
2014,last,0.25381600660066006
2014,middle,0.27067241239125134
2015,first,0.29998444064104557
2015,last,0.26025390625
2015,middle,0.28439553947271251
2016,first,0.30461952222749566
2016,last,0.25873584357758206
2016,middle,0.28723404255319152
2017,first,0.31382277695945421
2017,last,0.26713814238566713
2017,middle,0.2913688469318948
2018,first,0.30266726943942135
2018,last,0.25744891529390584
2018,middle,0.29467143664093393
2019,first,0.30361152694610777
2019,last,0.249
2019,middle,0.2826119181737326
2020,first,0.32044198895027626
2020,last,0.25465838509316768
2020,middle,0.1464968152866242
